tag_name,tag_popularity_rank,tag_tier,trending_appearances,unique_videos,unique_channels,total_views,avg_views_per_entry,avg_engagement_rate,avg_like_ratio,engagement_efficiency,recommendation,_bc_ingested_at
pop,1,Mega,1629,193,112,11322726262,6950722,5.46,96.56,0.738,Must Use,2026-05-02 19:45:17
rap,2,Mega,380,49,30,6600767535,17370441,4.413,92.457,0.743,Must Use,2026-05-02 19:45:17
funny,3,Mega,4137,746,193,6451511358,1559466,4.221,94.492,0.507,Must Use,2026-05-02 19:45:17
comedy,4,Mega,3641,663,157,5734436219,1574962,3.884,93.483,0.474,Low Priority,2026-05-02 19:45:17
official,5,Mega,910,117,58,4764687449,5235920,3.748,94.506,0.55,Low Priority,2026-05-02 19:45:17
trailer,6,Mega,1368,217,79,4563335051,3335771,2.037,91.234,0.282,Saturated,2026-05-02 19:45:17
marvel,7,Mega,621,82,38,4547536187,7322925,3.541,96.541,0.55,Low Priority,2026-05-02 19:45:17
records,8,Mega,685,80,51,4329594148,6320575,5.323,97.387,0.815,Must Use,2026-05-02 19:45:17
childish gambino,9,Mega,146,17,15,4085844995,27985240,2.503,91.041,0.502,Saturated,2026-05-02 19:45:17
this is america,10,Mega,104,8,7,4037698664,38824026,2.198,89.832,0.472,Saturated,2026-05-02 19:45:17
mcdj recording/rca records,11,Mega,38,2,2,3774773591,99336147,2.917,94.205,0.796,Saturated,2026-05-02 19:45:17
music video,12,Mega,713,83,68,3773529147,5292467,5.219,93.988,0.794,Must Use,2026-05-02 19:45:17
official video,13,Mega,366,43,29,3611351078,9867079,4.878,96.616,0.826,Must Use,2026-05-02 19:45:17
live,14,Mega,1011,189,63,3377641268,3340891,3.276,91.889,0.473,Low Priority,2026-05-02 19:45:17
movie,15,Mega,908,141,67,3208678979,3533787,2.749,92.787,0.404,Saturated,2026-05-02 19:45:17
animation,16,Mega,944,110,61,3068119111,3250126,5.19,97.322,0.758,Must Use,2026-05-02 19:45:17
family friendly,17,Mega,751,77,24,3020492249,4021960,4.386,94.696,0.662,Must Use,2026-05-02 19:45:17
bts,18,Mega,414,54,32,2959651558,7148917,9.584,97.415,1.59,Must Use,2026-05-02 19:45:17
music,19,Mega,1659,263,137,2804638663,1690560,4.788,93.963,0.646,Must Use,2026-05-02 19:45:17
fidget spinners,20,Mega,252,29,4,2797046032,11099389,5.664,96.348,1.024,Must Use,2026-05-02 19:45:17
to,21,Mega,403,61,39,2752653439,6830406,5.367,95.154,0.894,Must Use,2026-05-02 19:45:17
official trailer,22,Mega,431,58,28,2734473839,6344487,1.792,94.169,0.295,Saturated,2026-05-02 19:45:17
how to,23,Mega,1687,212,105,2694523970,1597228,5.649,96.007,0.76,Must Use,2026-05-02 19:45:17
family,24,Mega,603,86,50,2643183251,4383388,3.913,91.942,0.611,Low Priority,2026-05-02 19:45:17
bottle flip,25,Mega,232,20,3,2535970689,10930908,3.094,95.371,0.568,Low Priority,2026-05-02 19:45:17
방탄소년단,26,Mega,146,19,7,2508101121,17178775,13.737,98.906,2.753,Must Use,2026-05-02 19:45:17
bangtan,27,Mega,140,16,4,2496976457,17835546,14.656,99.087,2.962,Must Use,2026-05-02 19:45:17
daddy yankee,28,Mega,66,6,6,2374683382,35980051,3.308,90.663,0.787,Low Priority,2026-05-02 19:45:17
the,29,Mega,543,91,57,2342363810,4313746,4.31,96.475,0.684,Must Use,2026-05-02 19:45:17
빅히트,30,Mega,96,11,2,2268033047,23625344,14.352,98.832,3.137,Must Use,2026-05-02 19:45:17
방탄,31,Mega,88,10,2,2253865473,25612108,14.403,98.772,3.209,Must Use,2026-05-02 19:45:17
bighit,31,Mega,88,10,2,2253865473,25612108,14.403,98.772,3.209,Must Use,2026-05-02 19:45:17
film,33,Mega,638,107,65,2247243197,3522325,2.816,92.085,0.436,Saturated,2026-05-02 19:45:17
clean,34,Mega,215,21,10,2191027109,10190824,3.645,96.297,0.678,Low Priority,2026-05-02 19:45:17
football,35,Mega,510,98,40,2140848756,4197743,2.435,92.868,0.39,Saturated,2026-05-02 19:45:17
rca records label,36,Mega,280,31,16,2060205173,7357876,4.279,95.788,0.759,Must Use,2026-05-02 19:45:17
disney,37,Mega,568,66,47,2030688198,3575155,3.717,93.137,0.586,Low Priority,2026-05-02 19:45:17
soccer,38,Mega,316,40,15,2029416521,6422204,2.708,94.761,0.47,Saturated,2026-05-02 19:45:17
avengers,39,Mega,404,49,27,2011256604,4978358,3.994,97.107,0.665,Low Priority,2026-05-02 19:45:17
you,40,Mega,203,24,21,1990600842,9805915,5.817,97.12,1.094,Must Use,2026-05-02 19:45:17
cardi b,41,Mega,294,40,36,1974494424,6715967,3.871,90.335,0.681,Low Priority,2026-05-02 19:45:17
diy,42,Mega,1091,156,97,1964108402,1800283,4.812,95.632,0.688,Must Use,2026-05-02 19:45:17
trick shots,43,Mega,192,18,3,1962201823,10219801,3.203,96.966,0.609,Low Priority,2026-05-02 19:45:17
dude perfect,44,Mega,168,15,4,1955002060,11636917,3.33,95.129,0.649,Low Priority,2026-05-02 19:45:17
2018,45,Mega,1282,200,109,1944557839,1516816,3.921,92.292,0.548,Low Priority,2026-05-02 19:45:17
ed sheeran,46,Mega,198,28,19,1935665383,9776088,3.959,95.354,0.748,Low Priority,2026-05-02 19:45:17
nerf,47,Mega,172,17,4,1917326426,11147247,3.104,96.161,0.602,Low Priority,2026-05-02 19:45:17
dude perfect world record,48,Mega,143,13,2,1902092624,13301347,3.384,97.439,0.681,Low Priority,2026-05-02 19:45:17
no,49,Mega,177,15,11,1889940918,10677632,4.003,96.448,0.773,Must Use,2026-05-02 19:45:17
trick shot,50,Mega,150,15,4,1884608207,12564055,3.591,97.543,0.716,Low Priority,2026-05-02 19:45:17
ping pong,51,Power,150,14,3,1882523105,12550154,3.45,97.504,0.688,Recommended,2026-05-02 19:45:17
dude perfect water bottle flip,52,Power,131,12,1,1870085178,14275459,3.551,97.431,0.727,Recommended,2026-05-02 19:45:17
water bottle flip,52,Power,131,12,1,1870085178,14275459,3.551,97.431,0.727,Recommended,2026-05-02 19:45:17
spinner,52,Power,131,12,1,1870085178,14275459,3.551,97.431,0.727,Recommended,2026-05-02 19:45:17
dude perfect basketball,52,Power,131,12,1,1870085178,14275459,3.551,97.431,0.727,Recommended,2026-05-02 19:45:17
dude,52,Power,131,12,1,1870085178,14275459,3.551,97.431,0.727,Recommended,2026-05-02 19:45:17
dude perfect bottle flip,52,Power,131,12,1,1870085178,14275459,3.551,97.431,0.727,Recommended,2026-05-02 19:45:17
edition,52,Power,131,12,1,1870085178,14275459,3.551,97.431,0.727,Recommended,2026-05-02 19:45:17
dp,52,Power,131,12,1,1870085178,14275459,3.551,97.431,0.727,Recommended,2026-05-02 19:45:17
dude perfect stereotypes,52,Power,131,12,1,1870085178,14275459,3.551,97.431,0.727,Recommended,2026-05-02 19:45:17
bubble wrap,52,Power,131,12,1,1870085178,14275459,3.551,97.431,0.727,Recommended,2026-05-02 19:45:17
bowling,52,Power,131,12,1,1870085178,14275459,3.551,97.431,0.727,Recommended,2026-05-02 19:45:17
spinners,52,Power,131,12,1,1870085178,14275459,3.551,97.431,0.727,Recommended,2026-05-02 19:45:17
comics,64,Power,218,26,8,1869366211,8575074,4.289,97.744,0.796,Recommended,2026-05-02 19:45:17
superhero,65,Power,174,25,10,1862677106,10705041,4.036,97.543,0.781,Recommended,2026-05-02 19:45:17
action,66,Power,460,79,26,1853820762,4030045,2.361,92.552,0.385,Low Priority,2026-05-02 19:45:17
super hero,67,Power,134,18,3,1815565820,13548999,3.798,97.818,0.774,Recommended,2026-05-02 19:45:17
comic books,68,Power,144,18,3,1815195920,12605527,3.957,97.877,0.795,Recommended,2026-05-02 19:45:17
makeup,69,Power,1236,151,70,1808044065,1462819,6.305,96.063,0.885,Recommended,2026-05-02 19:45:17
infinity war,70,Power,280,37,21,1763004788,6296446,4.132,97.274,0.733,Recommended,2026-05-02 19:45:17
video,71,Power,1048,219,66,1757725298,1677219,3.322,89.931,0.478,Recommended,2026-05-02 19:45:17
marvel comics,72,Power,105,12,6,1754562277,16710117,2.606,97.018,0.559,Low Priority,2026-05-02 19:45:17
tears,73,Power,62,5,4,1731153751,27921835,4.701,96.559,1.135,Recommended,2026-05-02 19:45:17
humor,74,Power,1210,284,32,1730551605,1430208,2.906,94.413,0.409,Low Priority,2026-05-02 19:45:17
universal,75,Power,142,14,11,1716051236,12084868,3.662,95.656,0.738,Recommended,2026-05-02 19:45:17
vlog,76,Power,956,124,71,1708078102,1786693,6.883,94.792,1.003,Recommended,2026-05-02 19:45:17
food,77,Power,1279,186,68,1687093786,1319073,4.015,94.755,0.561,Recommended,2026-05-02 19:45:17
cry,78,Power,85,9,8,1672711808,19678962,4.08,93.189,0.916,Recommended,2026-05-02 19:45:17
latin,79,Power,74,9,8,1669148787,22556065,3.751,93.166,0.869,Recommended,2026-05-02 19:45:17
new york,80,Power,359,72,33,1615262655,4499339,2.739,92.256,0.465,Low Priority,2026-05-02 19:45:17
reggaeton,81,Power,59,5,5,1581446536,26804179,3.173,94.344,0.775,Recommended,2026-05-02 19:45:17
left,82,Power,52,4,3,1579916154,30383003,5.645,97.294,1.422,Recommended,2026-05-02 19:45:17
ariana,83,Power,44,4,3,1577970905,35862975,5.571,97.482,1.463,Recommended,2026-05-02 19:45:17
grande,83,Power,44,4,3,1577970905,35862975,5.572,97.482,1.464,Recommended,2026-05-02 19:45:17
el prestamo,85,Power,32,2,1,1551515831,48484870,2.026,92.99,0.579,Low Priority,2026-05-02 19:45:17
selena,86,Power,88,9,6,1538583742,17483906,4.451,95.927,0.992,Recommended,2026-05-02 19:45:17
dance,87,Power,598,77,49,1526805957,2553187,4.685,95.076,0.733,Recommended,2026-05-02 19:45:17
review,88,Power,1238,180,75,1464111056,1182642,4.372,94.593,0.614,Recommended,2026-05-02 19:45:17
hollywood,89,Power,847,185,35,1463009018,1727283,2.511,87.365,0.372,Low Priority,2026-05-02 19:45:17
spider-man,90,Power,123,17,13,1446655373,11761426,2.929,95.977,0.608,Low Priority,2026-05-02 19:45:17
fake love,91,Power,27,2,1,1421244882,52638699,12.719,98.067,3.817,Recommended,2026-05-02 19:45:17
single,92,Power,98,13,13,1419387444,14483545,4.675,95.258,1.017,Recommended,2026-05-02 19:45:17
cute,93,Power,828,101,54,1399098649,1689733,6.275,97.26,0.934,Recommended,2026-05-02 19:45:17
selena gomez,94,Power,189,21,15,1359850650,7194977,3.416,92.577,0.651,Recommended,2026-05-02 19:45:17
new movie,95,Power,125,12,6,1352431502,10819452,1.957,94.895,0.405,Low Priority,2026-05-02 19:45:17
hip hop,96,Power,254,43,30,1347856400,5306521,4.608,92.539,0.832,Recommended,2026-05-02 19:45:17
lyrics,97,Power,243,34,17,1347521824,5545357,5.387,96.175,0.98,Recommended,2026-05-02 19:45:17
logan paul,98,Power,80,16,12,1342906260,16786328,8.427,85.869,1.918,Recommended,2026-05-02 19:45:17
peter parker,99,Power,47,6,3,1336339940,28432765,2.622,94.379,0.677,Low Priority,2026-05-02 19:45:17
black panther,100,Power,341,49,29,1334210916,3912642,3.625,95.438,0.621,Recommended,2026-05-02 19:45:17
diplo,101,Power,123,11,6,1325635178,10777522,4.056,95.675,0.841,Recommended,2026-05-02 19:45:17
buzzfeed,102,Power,753,122,25,1323662115,1757851,4.181,94.821,0.631,Recommended,2026-05-02 19:45:17
movies,103,Power,695,128,46,1319537450,1898615,2.785,91.654,0.425,Low Priority,2026-05-02 19:45:17
jyp,104,Power,62,6,2,1300105028,20969436,5.806,96.004,1.401,Recommended,2026-05-02 19:45:17
jenny slate,105,Power,44,3,2,1299823325,29541439,1.662,93.377,0.437,Low Priority,2026-05-02 19:45:17
spider-man: homecoming,106,Power,43,5,2,1297518179,30174841,2.561,94.371,0.677,Low Priority,2026-05-02 19:45:17
basketball,107,Power,659,143,33,1292766948,1961710,1.806,89.407,0.278,Low Priority,2026-05-02 19:45:17
fake_love,108,Power,14,1,1,1283188291,91656307,7.408,96.824,2.736,Recommended,2026-05-02 19:45:17
remix,109,Power,181,23,13,1271315971,7023845,5.35,97.828,1.028,Recommended,2026-05-02 19:45:17
marvel studios,110,Power,104,14,5,1265533642,12168593,3.862,96.247,0.83,Recommended,2026-05-02 19:45:17
animals,111,Power,721,94,39,1261404105,1749520,3.512,95.982,0.534,Recommended,2026-05-02 19:45:17
sanjay dutt biopic,112,Power,32,2,1,1238609854,38706558,2.189,96.331,0.626,Low Priority,2026-05-02 19:45:17
ranbir kapoor,112,Power,32,2,1,1238609854,38706558,2.189,96.331,0.626,Low Priority,2026-05-02 19:45:17
alesso,114,Power,333,41,8,1234523312,3707277,4.854,95.336,0.835,Recommended,2026-05-02 19:45:17
cardi,115,Power,44,6,6,1233579078,28035888,4.375,87.584,1.149,Recommended,2026-05-02 19:45:17
twice,116,Power,75,8,6,1232272400,16430299,6.011,95.019,1.388,Recommended,2026-05-02 19:45:17
machine,117,Power,144,12,8,1230799045,8547216,4.447,96.457,0.894,Recommended,2026-05-02 19:45:17
late night,118,Power,782,199,9,1221945594,1562590,1.991,93.109,0.299,Low Priority,2026-05-02 19:45:17
becky g,119,Power,30,3,3,1220815747,40693858,3.466,93.381,1.009,Recommended,2026-05-02 19:45:17
lelepons,120,Power,328,42,8,1219365182,3717577,4.874,95.277,0.841,Recommended,2026-05-02 19:45:17
sneak peek,121,Power,99,11,7,1218097739,12304018,2.141,95.283,0.465,Low Priority,2026-05-02 19:45:17
latin music,122,Power,44,3,3,1212489108,27556571,2.788,91.446,0.732,Low Priority,2026-05-02 19:45:17
shots,123,Power,328,42,9,1195741168,3645552,4.838,95.224,0.835,Recommended,2026-05-02 19:45:17
hannahstocking,124,Power,324,40,7,1194811279,3687689,4.849,95.237,0.838,Recommended,2026-05-02 19:45:17
rudymancuso,124,Power,324,40,7,1194811279,3687689,4.849,95.237,0.838,Recommended,2026-05-02 19:45:17
michelle williams,126,Power,74,8,4,1194464311,16141410,2.749,93.551,0.637,Low Priority,2026-05-02 19:45:17
game,127,Power,606,135,40,1192795995,1968310,3.428,93.589,0.535,Recommended,2026-05-02 19:45:17
money,128,Power,218,31,31,1188698117,5452744,3.441,94.278,0.639,Recommended,2026-05-02 19:45:17
venom,129,Power,71,8,6,1183352627,16666938,2.602,95.164,0.608,Low Priority,2026-05-02 19:45:17
natti natasha single,130,Power,20,1,1,1182971286,59148564,2.421,92.248,0.795,Low Priority,2026-05-02 19:45:17
natti natasha song,130,Power,20,1,1,1182971286,59148564,2.421,92.248,0.795,Low Priority,2026-05-02 19:45:17
natti natasha video oficial,130,Power,20,1,1,1182971286,59148564,2.421,92.248,0.795,Low Priority,2026-05-02 19:45:17
sin pijama official video,130,Power,20,1,1,1182971286,59148564,2.421,92.248,0.795,Low Priority,2026-05-02 19:45:17
natti natasha video,130,Power,20,1,1,1182971286,59148564,2.421,92.248,0.795,Low Priority,2026-05-02 19:45:17
natti natasha nuevo video,130,Power,20,1,1,1182971286,59148564,2.421,92.248,0.795,Low Priority,2026-05-02 19:45:17
natti natasha,130,Power,20,1,1,1182971286,59148564,2.421,92.248,0.795,Low Priority,2026-05-02 19:45:17
natti,130,Power,20,1,1,1182971286,59148564,2.421,92.248,0.795,Low Priority,2026-05-02 19:45:17
natti natasha official video,130,Power,20,1,1,1182971286,59148564,2.421,92.248,0.795,Low Priority,2026-05-02 19:45:17
natti natasha music,130,Power,20,1,1,1182971286,59148564,2.421,92.248,0.795,Low Priority,2026-05-02 19:45:17
sin pijama single,130,Power,20,1,1,1182971286,59148564,2.421,92.248,0.795,Low Priority,2026-05-02 19:45:17
sin pijama nueva canción,130,Power,20,1,1,1182971286,59148564,2.421,92.248,0.795,Low Priority,2026-05-02 19:45:17
sin pijama official remix video,130,Power,20,1,1,1182971286,59148564,2.421,92.248,0.795,Low Priority,2026-05-02 19:45:17
natasha,130,Power,20,1,1,1182971286,59148564,2.421,92.248,0.795,Low Priority,2026-05-02 19:45:17
en,130,Power,20,1,1,1182971286,59148564,2.421,92.248,0.795,Low Priority,2026-05-02 19:45:17
natti natasha new video,130,Power,20,1,1,1182971286,59148564,2.421,92.248,0.795,Low Priority,2026-05-02 19:45:17
natti natasha new single,130,Power,20,1,1,1182971286,59148564,2.421,92.248,0.795,Low Priority,2026-05-02 19:45:17
natti natasha nueva cancion,130,Power,20,1,1,1182971286,59148564,2.421,92.248,0.795,Low Priority,2026-05-02 19:45:17
sin pijama new song,130,Power,20,1,1,1182971286,59148564,2.421,92.248,0.795,Low Priority,2026-05-02 19:45:17
cover,149,Power,220,27,18,1182061659,5373008,6.374,98.269,1.181,Recommended,2026-05-02 19:45:17
beauty,150,Power,923,133,61,1181338600,1279890,5.556,95.749,0.814,Recommended,2026-05-02 19:45:17
anitta,151,Power,311,38,6,1177644058,3786637,4.889,95.203,0.851,Recommended,2026-05-02 19:45:17
bad bunny,152,Power,45,5,4,1176396991,26142155,3.694,91.697,0.965,Recommended,2026-05-02 19:45:17
musica en espanol,153,Power,36,2,2,1176389828,32677495,2.313,90.629,0.641,Low Priority,2026-05-02 19:45:17
en vivo,153,Power,36,2,2,1176389828,32677495,2.313,90.629,0.641,Low Priority,2026-05-02 19:45:17
gomez,155,Power,68,6,4,1164832807,17129894,5.081,97.913,1.2,Recommended,2026-05-02 19:45:17
celebrity,156,Power,1131,233,44,1163954983,1029138,2.411,88.738,0.343,Low Priority,2026-05-02 19:45:17
tom hardy,157,Power,51,5,4,1150526655,22559346,2.725,95.27,0.69,Low Priority,2026-05-02 19:45:17
netflix,158,Power,385,98,31,1135692048,2949849,3.23,94.15,0.542,Recommended,2026-05-02 19:45:17
sketch,159,Power,572,95,25,1133738807,1982061,4.193,93.868,0.66,Recommended,2026-05-02 19:45:17
anwar,160,Power,312,39,7,1130375750,3622999,4.826,95.209,0.84,Recommended,2026-05-02 19:45:17
shotsstudios,160,Power,312,39,7,1130375750,3622999,4.826,95.209,0.84,Recommended,2026-05-02 19:45:17
tutorial,162,Power,1054,134,72,1128787355,1070956,5.48,96.342,0.787,Recommended,2026-05-02 19:45:17
brazil,163,Power,312,39,8,1128424343,3616745,4.643,94.539,0.808,Recommended,2026-05-02 19:45:17
calvin harris,164,Power,67,6,3,1127026147,16821286,3.789,95.451,0.898,Recommended,2026-05-02 19:45:17
venom movie,165,Power,36,4,3,1124550910,31237525,2.346,94.166,0.65,Low Priority,2026-05-02 19:45:17
sony pictures entertainment,166,Power,35,3,2,1124461038,32127458,2.394,94.493,0.668,Low Priority,2026-05-02 19:45:17
eddie brock,167,Power,30,3,2,1123372978,37445766,2.436,93.708,0.709,Low Priority,2026-05-02 19:45:17
spider-man spinoff,168,Power,29,2,1,1123283106,38733900,2.497,94.086,0.734,Low Priority,2026-05-02 19:45:17
planet of the symbiotes,168,Power,29,2,1,1123283106,38733900,2.497,94.086,0.734,Low Priority,2026-05-02 19:45:17
we are venom,168,Power,29,2,1,1123283106,38733900,2.497,94.086,0.734,Low Priority,2026-05-02 19:45:17
venom (2018),168,Power,29,2,1,1123283106,38733900,2.497,94.086,0.734,Low Priority,2026-05-02 19:45:17
riz ahmed,168,Power,29,2,1,1123283106,38733900,2.497,94.086,0.734,Low Priority,2026-05-02 19:45:17
ruben fleischer,168,Power,29,2,1,1123283106,38733900,2.497,94.086,0.734,Low Priority,2026-05-02 19:45:17
sarkis,174,Power,305,38,6,1122589181,3680620,4.852,95.219,0.848,Recommended,2026-05-02 19:45:17
inanna,174,Power,305,38,6,1122589181,3680620,4.852,95.219,0.848,Recommended,2026-05-02 19:45:17
el,176,Power,29,3,3,1121074723,38657749,1.6,89.905,0.47,Low Priority,2026-05-02 19:45:17
comedian,177,Power,877,232,30,1112700213,1268757,2.672,93.479,0.394,Low Priority,2026-05-02 19:45:17
big,178,Power,147,18,15,1111970655,7564426,4.091,95.917,0.819,Recommended,2026-05-02 19:45:17
fortnite,179,Power,231,19,15,1100575541,4764396,3.691,89.926,0.678,Recommended,2026-05-02 19:45:17
acoustic,180,Power,154,22,17,1096957134,7123098,6.29,98.313,1.247,Recommended,2026-05-02 19:45:17
official audio,181,Power,57,5,5,1091128041,19142597,3.524,96.435,0.868,Recommended,2026-05-02 19:45:17
lele pons,182,Power,69,12,5,1089035276,15783120,4.691,90.976,1.104,Recommended,2026-05-02 19:45:17
challenge,183,Power,697,86,59,1085871645,1557922,5.672,95.531,0.866,Recommended,2026-05-02 19:45:17
ozuna,184,Power,50,5,4,1084766763,21695335,3.14,91.358,0.799,Recommended,2026-05-02 19:45:17
session,185,Power,114,17,7,1075882981,9437570,4.049,98.198,0.853,Recommended,2026-05-02 19:45:17
television,186,Power,1009,228,30,1068465100,1058935,2.362,92.609,0.341,Low Priority,2026-05-02 19:45:17
nicky jam,187,Power,50,5,3,1057499561,21149991,3.261,91.956,0.829,Recommended,2026-05-02 19:45:17
fifth harmony,188,Power,176,23,12,1049479089,5962949,5.164,96.674,0.998,Recommended,2026-05-02 19:45:17
my,189,Power,153,16,15,1048890366,6855493,5.876,95.67,1.167,Recommended,2026-05-02 19:45:17
twice music video,190,Power,38,4,1,1046797914,27547314,4.592,93.254,1.253,Recommended,2026-05-02 19:45:17
트와이스 뮤비,190,Power,38,4,1,1046797914,27547314,4.592,93.254,1.253,Recommended,2026-05-02 19:45:17
